2012 02 02  12705.41
2012 02 03  12862.23
2012 02 06  12845.13
2012 02 07  12878.20
2012 02 08  12883.95
2012 02 09  12890.46
2012 02 10  12801.23
2012 02 13  12874.04
2012 02 14  12878.28
2012 02 15  12780.95
2012 02 16  12904.08
2012 02 17  12949.87
2012 02 21  12965.69
2012 02 22  12938.67
2012 02 23  12984.69
2012 02 24  12982.95
2012 02 27  12981.51
2012 02 28  13005.12
2012 02 29  12952.07
2012 03 01  12980.30
2012 03 02  12977.57
2012 03 05  12962.81
2012 03 06  12759.15
2012 03 07  12837.33
2012 03 08  12907.94
2012 03 09  12922.02
2012 03 12  12959.71
2012 03 13  13177.68
2012 03 14  13194.10
2012 03 15  13252.76
2012 03 16  13232.62
2012 03 19  13239.13
2012 03 20  13170.19
2012 03 21  13124.62
2012 03 22  13046.14
2012 03 23  13080.73
2012 03 26  13241.63
2012 03 27  13197.73
2012 03 28  13126.21
2012 03 29  13145.82
2012 03 30  13212.04
2012 04 02  13264.49
2012 04 03  13199.55
2012 04 04  13074.75
2012 04 05  13060.14
2012 04 09  12929.59
2012 04 10  12715.93
2012 04 11  12805.39
2012 04 12  12986.58
2012 04 13  12849.59
2012 04 16  12921.41
2012 04 17  13115.54
2012 04 18  13032.75
2012 04 19  12964.10
2012 04 20  13029.26
2012 04 23  12927.17
2012 04 24  13001.56
2012 04 25  13090.72
2012 04 26  13204.62
2012 04 27  13228.31
2012 04 30  13213.63
2012 05 01  13279.32
2012 05 02  13268.57
2012 05 03  13206.59
2012 05 04  13038.27
2012 05 07  13008.53
2012 05 08  12932.09
2012 05 09  12835.06
2012 05 10  12855.04
2012 05 11  12820.60
2012 05 14  12695.35
2012 05 15  12632.00
2012 05 16  12598.55
2012 05 17  12442.49
2012 05 18  12369.38
2012 05 21  12504.48
2012 05 22  12502.81
2012 05 23  12496.15
2012 05 24  12529.75
2012 05 25  12454.83
2012 05 29  12580.69
2012 05 30  12419.86
2012 05 31  12393.45
2012 06 01  12118.57
2012 06 04  12101.46
2012 06 05  12127.95
2012 06 06  12414.79
2012 06 07  12460.96
2012 06 08  12554.20
2012 06 11  12411.23
2012 06 12  12573.80
2012 06 13  12496.38
2012 06 14  12651.91
2012 06 15  12767.17
2012 06 18  12741.82
