a 40911
d 80707
p 71101
D 40210
a 50408
d 60304
D 40707
a 60403
| 00303
Y 110711
d 90610
A 70609
A 30202
F 61001
' 20405
d 60508
d 20307
D 00601
a 91105
A 50306
a 80701
d 70005
f 111011
A 70802
A 20803
A 20406
A 100400
a 40902
D 30600
d 60605
A 80304
z 90601
A 90903
A 30604
D 111111
" 60305
A 111005
W 80607
D 20500
\ 70410
a 30209
A 100104
f 30204
D 110703
D 10811
A 41110
D 00201
A 70206
a 10602
a 31008
d 80902
a 30205
a 50710
D 101101
D 71000
a 81009
a 90003
A 50503
a 70704
D 30004
D 80211
D 100711
d 100507
b 100100
# 90902
a 20710
a 30701
A 41006
d 60702
A 20209
D 10904
A 80902
a 80101
a 41104
D 40909
a 11001
A 30907
a 110900
A 70301
a 50108
t 60603
A 60809
b 00111
R 20809
d 11104
D 40711
a 10501
D 80603
a 20802
0 40905
D 50200
a 80208
D 00103
k 70200
a 40705
d 90601
o 50000
D 70406
D 21008
A 80507
d 20206
D 30201
D 51002
, 00708
+ 00607
A 00001
A 30900
d 60900
a 70702
A 110410
d 71003
A 90110
a 100704
a 110204
A 50102
D 20208
, 80601
@ 71000
d 20703
a 50009
A 51001
A 90510
d 10701
a 80610
* 50507
a 10408
a 30408
D 30103
a 60811
a 10001
d 110604
7 20401
a 91101
d 80403
A 40808
a 20604
A 60209
D 50505
d 61110
D 80106
a 50210
1 110703
> 10911
A 30007
5 110502
a 110607
d 90204
d 111007
d 51001
d 00508
A 110411
D 60304
D 100707
a 50705
A 80007
d 50902
i 70604
a 60306
a 80304
D 30201
d 10403
D 60909
d 70203
D 90200
D 40500
d 50210
D 100900
a 70311
D 10406
a 60803
d 50708
_ 10806
| 70000
a 81100
d 31102
a 100501
d 90605
a 80901
R 110904
A 70004
m 40703
A 50900
s 80901
@ 20106
a 60611
- 40008
d 00202
a 70602
M 00211
a 11007
a 80810
+ 111100
D 10111
A 60007
a 100004
a 70611
A 51003
A 60105
D 110811
Z 100007
d 50001
D 70600
a 70109
D 40809
d 80707
A 70800
D 40604
a 80211
d 20501
A 61103
M 20604
a 50603
d 00510
d 60200
D 00405
A 00804
a 31001
d 00809
A 80502
d 50601
